id,Total Pop Enrolled,Percent Total Pop Enrolled,Margin Total Pop,County,State
0500000US13089,122868,64.3,2066,DeKalb County, Georgia
0500000US13095,17050,59.8,1459,Dougherty County, Georgia
0500000US13097,29044,68.8,1663,Douglas County, Georgia
0500000US13113,22989,70.6,1560,Fayette County, Georgia
0500000US13115,15036,71.1,1221,Floyd County, Georgia
0500000US13117,50658,73.4,990,Forsyth County, Georgia
0500000US13121,170695,61.8,3384,Fulton County, Georgia
0500000US13127,14388,74.2,1111,Glynn County, Georgia
0500000US13135,190249,70.9,2718,Gwinnett County, Georgia
0500000US13139,38484,73.0,1203,Hall County, Georgia
0500000US13151,47042,76.4,1862,Henry County, Georgia
0500000US13153,29348,66.0,1679,Houston County, Georgia
0500000US13157,14118,75.3,912,Jackson County, Georgia
0500000US13185,19972,59.2,1775,Lowndes County, Georgia
0500000US13215,34290,61.3,1626,Muscogee County, Georgia
0500000US13217,23991,79.0,1921,Newton County, Georgia
0500000US13223,32855,74.4,1858,Paulding County, Georgia
0500000US13245,32703,65.8,1599,Richmond County, Georgia
0500000US13247,17658,66.9,1507,Rockdale County, Georgia
0500000US13255,12257,76.4,659,Spalding County, Georgia
0500000US13285,13253,66.9,980,Troup County, Georgia
0500000US13295,11933,78.0,1069,Walker County, Georgia
0500000US13297,18402,77.6,1444,Walton County, Georgia
0500000US13313,20546,76.6,986,Whitfield County, Georgia
0500000US15001,32026,72.4,826,Hawaii County, Hawaii
0500000US15003,142562,61.3,2064,Honolulu County, Hawaii
0500000US15007,10915,78.9,739,Kauai County, Hawaii
0500000US15009,24856,72.4,1333,Maui County, Hawaii
0500000US16001,83254,70.9,2281,Ada County, Idaho
0500000US16005,16705,64.8,975,Bannock County, Idaho
0500000US16019,25993,74.9,992,Bonneville County, Idaho
0500000US16027,44919,75.7,1576,Canyon County, Idaho
0500000US16055,26217,73.0,1307,Kootenai County, Idaho
0500000US16083,16461,76.6,1096,Twin Falls County, Idaho
0500000US17001,10416,75.8,509,Adams County, Illinois
0500000US17019,27823,36.5,1328,Champaign County, Illinois
0500000US17031,819932,65.0,4803,Cook County, Illinois
0500000US17037,17118,47.9,1050,DeKalb County, Illinois
0500000US17043,156007,64.9,1999,DuPage County, Illinois
0500000US17089,103310,73.1,2073,Kane County, Illinois
0500000US17091,18415,65.0,1032,Kankakee County, Illinois
0500000US17093,28852,72.3,1779,Kendall County, Illinois
0500000US17097,129639,69.6,1767,Lake County, Illinois
0500000US17099,16872,76.5,542,LaSalle County, Illinois
0500000US17111,54600,72.9,1615,McHenry County, Illinois
0500000US17113,27867,47.8,1550,McLean County, Illinois
0500000US17115,17275,73.1,811,Macon County, Illinois
0500000US17119,40969,63.3,1263,Madison County, Illinois
0500000US17143,30057,66.9,1098,Peoria County, Illinois
0500000US17161,23108,65.6,927,Rock Island County, Illinois
0500000US17163,45220,67.6,901,St. Clair County, Illinois
0500000US17167,33154,71.4,884,Sangamon County, Illinois
0500000US17179,21797,72.5,811,Tazewell County, Illinois
