GEO_ID,PCT_total_households_with_Device,PCT_total_households_with_Desktop,PCT_total_households_with_NO,PCT_total_households_with_Smartphone,PCT_total_households_with_NO2,PCT_total_households_with_Portable,PCT_total_households_with_NO3,PCT_total_households_with_Other,PCT_total_households_with_NO4,PCT_total_households_No_Device,PCT_total_households_with_SUB,PCT_total_households_with_DU,PCT_total_households_with_Broadband,PCT_total_households_with_Cellular,PCT_total_households_with_Cell_NO,PCT_total_households_with_Cable,PCT_total_households_with_SAT,PCT_total_households_without_SUB
0500000US25005,89.0,75.3,5.1,80.3,8.1,60.0,1.2,1.9,0.0,11.0,83.3,0.2,83.1,72.8,9.1,71.7,2.8,16.7
0500000US25009,92.2,79.9,4.9,83.2,6.2,66.7,1.5,1.9,0.0,7.8,87.9,0.2,87.7,76.3,6.4,79.9,2.6,12.1
0500000US25011,91.0,76.5,8.4,74.6,7.0,59.2,3.4,2.5,0.0,9.0,82.4,0.4,82.0,65.6,6.7,69.0,7.4,17.6
0500000US25013,87.0,71.2,5.4,77.2,9.9,56.6,1.4,1.5,0.0,13.0,80.7,0.5,80.2,64.5,9.9,69.0,2.4,19.3
0500000US25015,93.0,85.8,7.3,81.3,3.6,65.4,1.0,2.9,0.0,7.0,87.9,0.5,87.4,74.7,6.4,78.8,2.5,12.1
0500000US25017,94.2,86.8,4.7,86.3,3.7,70.4,0.9,2.3,0.0,5.8,91.2,0.1,91.1,80.7,6.7,83.4,2.3,8.8
0500000US25021,94.6,87.1,4.7,86.5,3.4,72.0,1.5,2.1,0.0,5.4,91.6,0.2,91.4,83.2,6.9,83.2,2.6,8.4
0500000US25023,93.9,82.4,5.7,83.9,5.6,69.8,1.8,2.5,0.0,6.1,88.6,0.1,88.5,77.9,7.1,79.9,2.3,11.4
0500000US25025,92.3,79.1,3.0,87.5,8.7,60.0,0.6,2.0,0.0,7.7,86.8,0.2,86.7,81.1,9.9,75.4,3.1,13.2
0500000US25027,92.4,81.2,5.2,83.3,5.9,66.2,1.1,2.2,0.0,7.6,88.7,0.3,88.4,79.7,10.7,75.4,3.1,11.3
0500000US26005,90.9,75.2,4.3,83.4,11.2,53.8,0.9,2.1,0.0,9.1,85.1,0.5,84.6,76.2,30.7,45.6,9.4,14.9
0500000US26017,89.6,73.5,4.4,81.3,10.6,54.8,1.5,1.1,0.0,10.4,85.5,0.1,85.5,76.8,15.2,66.5,6.0,14.5
0500000US26021,89.9,74.2,5.1,80.5,10.3,58.9,1.0,2.3,0.1,10.1,74.2,0.2,74.1,64.5,14.4,54.8,6.6,25.8
0500000US26025,91.1,69.5,6.3,79.5,15.1,51.8,1.5,1.1,0.1,8.9,83.8,0.3,83.6,75.0,22.7,55.2,7.0,16.2
0500000US26037,91.8,81.0,4.3,84.1,6.5,61.6,0.9,1.9,0.0,8.2,87.0,0.5,86.6,63.7,12.6,66.9,8.5,13.0
0500000US26045,93.7,78.6,5.3,84.8,8.5,64.5,0.5,3.1,0.0,6.3,87.8,0.4,87.5,74.2,13.2,66.0,12.3,12.2
0500000US26049,87.6,69.3,4.6,78.7,10.7,55.4,1.7,1.9,0.0,12.4,80.6,0.3,80.3,64.9,9.7,68.1,3.8,19.4
0500000US26055,94.1,83.4,6.4,84.3,5.8,69.7,0.6,1.9,0.0,5.9,86.5,0.2,86.2,77.7,11.8,71.2,3.5,13.5
0500000US26065,94.3,81.2,3.9,86.3,7.7,64.1,1.3,3.1,0.0,5.7,84.0,0.1,83.8,74.7,8.4,71.3,6.9,16.0
0500000US26073,92.0,76.4,4.0,83.9,8.2,59.6,1.7,3.1,0.1,8.0,79.2,0.3,78.9,64.8,13.7,59.2,11.3,20.8
0500000US26075,89.8,70.1,4.8,79.7,13.2,55.1,2.0,1.7,0.0,10.2,83.6,0.3,83.3,74.0,16.2,63.2,6.0,16.4
0500000US26077,92.7,80.4,4.7,84.1,6.3,65.9,1.4,1.6,0.0,7.3,89.5,0.7,88.8,80.7,11.2,73.9,5.6,10.5
0500000US26081,93.0,78.7,4.0,85.3,8.3,65.5,1.3,1.8,0.0,7.0,87.7,0.2,87.5,79.0,10.6,73.7,6.3,12.3
0500000US26087,89.9,75.0,6.4,79.0,9.5,59.5,1.9,1.3,0.1,10.1,84.4,0.7,83.7,74.1,17.0,56.4,10.3,15.6
0500000US26091,90.4,72.5,5.5,80.3,9.6,61.7,1.3,2.3,0.0,9.6,82.9,0.3,82.6,74.8,15.1,59.6,7.6,17.1
0500000US26093,95.9,86.6,4.9,88.5,5.4,70.9,0.8,2.7,0.0,4.1,90.8,0.1,90.7,82.5,7.2,78.7,7.6,9.2
0500000US26099,92.2,77.8,4.5,84.3,8.6,62.8,0.8,2.1,0.0,7.8,88.7,0.2,88.5,80.3,12.1,74.0,5.1,11.3
0500000US26103,88.2,78.7,7.1,74.4,4.8,59.6,1.5,2.4,0.0,11.8,82.1,0.1,82.1,68.3,10.5,66.6,5.4,17.9
0500000US26111,87.8,76.0,3.1,79.2,6.8,63.6,0.9,2.2,0.1,12.2,82.7,0.0,82.7,75.7,15.1,62.5,7.7,17.3
0500000US26115,90.9,76.8,5.6,80.0,7.0,66.7,1.6,1.8,0.0,9.1,84.1,0.2,83.9,69.8,9.1,68.2,7.3,15.9
0500000US26121,90.4,68.3,5.6,79.9,14.8,55.3,1.2,2.5,0.0,9.6,83.6,0.7,82.9,73.3,17.9,61.1,5.3,16.4
