id,pop_total,county,state,pop_class
0500000US06023,136463,Humboldt County,California,Small Metro Area
0500000US06025,179702,Imperial County,California,Small Metro Area
0500000US06027,19016,Inyo County,California,Micro Area
0500000US06029,909235,Kern County,California,Medium Metro Area
0500000US06031,152486,Kings County,California,Small Metro Area
0500000US06033,68163,Lake County,California,Small Metro Area
0500000US06035,32730,Lassen County,California,Micro Area
0500000US06037,10014009,Los Angeles County,California,Large Metro Area
0500000US06039,156255,Madera County,California,Small Metro Area
0500000US06041,262321,Marin County,California,Medium Metro Area
0500000US06043,17131,Mariposa County,California,Micro Area
0500000US06045,91601,Mendocino County,California,Small Metro Area
0500000US06047,281202,Merced County,California,Medium Metro Area
0500000US06049,8700,Modoc County,California,Rural Area
0500000US06051,13195,Mono County,California,Micro Area
0500000US06053,439035,Monterey County,California,Medium Metro Area
0500000US06055,138019,Napa County,California,Small Metro Area
0500000US06057,102241,Nevada County,California,Small Metro Area
0500000US06059,3186989,Orange County,California,Large Metro Area
0500000US06061,404739,Placer County,California,Medium Metro Area
0500000US06063,19790,Plumas County,California,Micro Area
0500000US06065,2418185,Riverside County,California,Large Metro Area
0500000US06067,1585055,Sacramento County,California,Large Metro Area
0500000US06069,64209,San Benito County,California,Small Metro Area
0500000US06071,2181654,San Bernardino County,California,Large Metro Area
0500000US06073,3298634,San Diego County,California,Large Metro Area
0500000US06075,873965,San Francisco County,California,Medium Metro Area
0500000US06077,779233,San Joaquin County,California,Medium Metro Area
0500000US06079,282424,San Luis Obispo County,California,Medium Metro Area
0500000US06081,764442,San Mateo County,California,Medium Metro Area
0500000US06083,448229,Santa Barbara County,California,Medium Metro Area
0500000US06085,1936259,Santa Clara County,California,Large Metro Area
0500000US06087,270861,Santa Cruz County,California,Medium Metro Area
0500000US06089,182155,Shasta County,California,Small Metro Area
0500000US06091,3236,Sierra County,California,Rural Area
0500000US06093,44076,Siskiyou County,California,Micro Area
0500000US06095,453491,Solano County,California,Medium Metro Area
0500000US06097,488863,Sonoma County,California,Medium Metro Area
0500000US06099,552878,Stanislaus County,California,Medium Metro Area
0500000US06101,99633,Sutter County,California,Small Metro Area
0500000US06103,65829,Tehama County,California,Small Metro Area
0500000US06105,16112,Trinity County,California,Micro Area
0500000US06107,473117,Tulare County,California,Medium Metro Area
0500000US06109,55620,Tuolumne County,California,Small Metro Area
0500000US06111,843843,Ventura County,California,Medium Metro Area
0500000US06113,216403,Yolo County,California,Small Metro Area
0500000US06115,81575,Yuba County,California,Small Metro Area
0500000US08001,519572,Adams County,Colorado,Medium Metro Area
0500000US08003,16376,Alamosa County,Colorado,Micro Area
0500000US08005,655070,Arapahoe County,Colorado,Medium Metro Area
0500000US08007,13359,Archuleta County,Colorado,Micro Area
0500000US08009,3506,Baca County,Colorado,Rural Area
0500000US08011,5650,Bent County,Colorado,Rural Area
0500000US08013,330758,Boulder County,Colorado,Medium Metro Area
0500000US08014,74112,Broomfield County,Colorado,Small Metro Area
0500000US08015,19476,Chaffee County,Colorado,Micro Area
0500000US08017,1748,Cheyenne County,Colorado,Rural Area
0500000US08019,9397,Clear Creek County,Colorado,Rural Area
0500000US08021,7461,Conejos County,Colorado,Rural Area
0500000US08023,3499,Costilla County,Colorado,Rural Area
0500000US08025,5922,Crowley County,Colorado,Rural Area
0500000US08027,4704,Custer County,Colorado,Rural Area
0500000US08029,31196,Delta County,Colorado,Micro Area
0500000US08031,715522,Denver County,Colorado,Medium Metro Area
0500000US08033,2326,Dolores County,Colorado,Rural Area
0500000US08035,357978,Douglas County,Colorado,Medium Metro Area
0500000US08037,55731,Eagle County,Colorado,Small Metro Area
0500000US08039,26062,Elbert County,Colorado,Micro Area
0500000US08041,730395,El Paso County,Colorado,Medium Metro Area
0500000US08043,48939,Fremont County,Colorado,Micro Area
0500000US08045,61685,Garfield County,Colorado,Small Metro Area
0500000US08047,5808,Gilpin County,Colorado,Rural Area
0500000US08049,15717,Grand County,Colorado,Micro Area
0500000US08051,16918,Gunnison County,Colorado,Micro Area
0500000US08053,788,Hinsdale County,Colorado,Rural Area
0500000US08055,6820,Huerfano County,Colorado,Rural Area
0500000US08057,1379,Jackson County,Colorado,Rural Area
0500000US08059,582910,Jefferson County,Colorado,Medium Metro Area
0500000US08061,1446,Kiowa County,Colorado,Rural Area
0500000US08063,7087,Kit Carson County,Colorado,Rural Area
0500000US08065,7436,Lake County,Colorado,Rural Area
0500000US08067,55638,La Plata County,Colorado,Small Metro Area
0500000US08069,359066,Larimer County,Colorado,Medium Metro Area
0500000US08071,14555,Las Animas County,Colorado,Micro Area
0500000US08073,5675,Lincoln County,Colorado,Rural Area
0500000US08075,21528,Logan County,Colorado,Micro Area
0500000US08077,155703,Mesa County,Colorado,Small Metro Area
0500000US08079,865,Mineral County,Colorado,Rural Area
0500000US08081,13292,Moffat County,Colorado,Micro Area
0500000US08083,25849,Montezuma County,Colorado,Micro Area
0500000US08085,42679,Montrose County,Colorado,Micro Area
0500000US08087,29111,Morgan County,Colorado,Micro Area
0500000US08089,18690,Otero County,Colorado,Micro Area
0500000US08091,4874,Ouray County,Colorado,Rural Area
0500000US08093,17390,Park County,Colorado,Micro Area
0500000US08095,4530,Phillips County,Colorado,Rural Area
0500000US08097,17358,Pitkin County,Colorado,Micro Area
0500000US08099,11999,Prowers County,Colorado,Micro Area
0500000US08101,168162,Pueblo County,Colorado,Small Metro Area
0500000US08103,6529,Rio Blanco County,Colorado,Rural Area
0500000US08105,11539,Rio Grande County,Colorado,Micro Area
0500000US08107,24829,Routt County,Colorado,Micro Area
0500000US08109,6368,Saguache County,Colorado,Rural Area
0500000US08111,705,San Juan County,Colorado,Rural Area
0500000US08113,8072,San Miguel County,Colorado,Rural Area
0500000US08115,2404,Sedgwick County,Colorado,Rural Area
0500000US08117,31055,Summit County,Colorado,Micro Area
0500000US08119,24710,Teller County,Colorado,Micro Area
0500000US08121,4817,Washington County,Colorado,Rural Area
