id,pop_total,county,state,pop_class,year,broadband_pct,total_pop_enrolled,percent_total_pop_enrolled,margin_total_pop,geo_id_x,est_total_households,est_med_income_households,est_total_families,est_med_income_families,geo_id_y,est_total_pop_16_over,est_emp_pop_ratio_16_over,est_unemp_pop_ratio_16_over,geo_id_x,total_one_device,total_multi_device,total_without_device,total_households_org,geo_id_y,total_with_subs_org,total_without_subs_org,total_cellular_subs,total_with_cell_sub_only,total_subs,total_without_subs,total_subs_w_cell
0500000US01121,82149.0,Talladega County,Alabama,Small Metro Area,2018.0,0.69800001,13255.0,76.8,720.0,0500000US01121,31219.0,40315.0,21701.0,52637.0,0500000US01121,65419.0,48.8,8.5,0500000US01121,29369.0,25483.0,5665.0,65419.0,0500000US01121,42887.0,,,,21348.0,0.0,21348.0
0500000US01123,41311.0,Tallapoosa County,Alabama,Micro Area,2018.0,0.70000005,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01125,227036.0,Tuscaloosa County,Alabama,Small Metro Area,2018.0,0.77999997,31619.0,49.5,1503.0,0500000US01125,74053.0,54459.0,48006.0,70370.0,0500000US01125,170265.0,58.1,4.1,0500000US01125,70601.0,69309.0,10661.0,170265.0,0500000US01125,113167.0,,,,52414.0,0.0,52414.0
0500000US01127,65342.0,Walker County,Alabama,Small Metro Area,2018.0,0.68000001,10388.0,75.2,539.0,0500000US01127,24870.0,47602.0,16729.0,63021.0,0500000US01127,50948.0,49.6,7.9,0500000US01127,24606.0,18763.0,4919.0,50948.0,0500000US01127,45982.0,,,,0.0,0.0,0.0
0500000US01129,15388.0,Washington County,Alabama,Micro Area,2018.0,0.583,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01131,10600.0,Wilcox County,Alabama,Micro Area,2018.0,0.49200001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01133,23540.0,Winston County,Alabama,Micro Area,2018.0,0.62199998,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02013,3420.0,Aleutians East Borough,Alaska,Rural Area,2018.0,0.67299998,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02016,5232.0,Aleutians West Census Area,Alaska,Rural Area,2018.0,0.75699997,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02020,291247.0,Anchorage Municipality,Alaska,Medium Metro Area,2018.0,0.88700002,50223.0,64.7,1379.0,0500000US02020,105285.0,83648.0,69667.0,99797.0,0500000US02020,227669.0,63.5,5.5,0500000US02020,105495.0,96161.0,11017.0,227669.0,0500000US02020,149870.0,18933.0,22586.0,,45879.0,18933.0,68465.0
0500000US02050,18666.0,Bethel Census Area,Alaska,Micro Area,2018.0,0.72299999,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02060,844.0,Bristol Bay Borough,Alaska,Rural Area,2018.0,0.81399995,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02063,7102.0,Chugach Census Area,Alaska,Rural Area,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02066,2617.0,Copper River Census Area,Alaska,Rural Area,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02068,1619.0,Denali Borough,Alaska,Rural Area,2018.0,0.88600004,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02070,4857.0,Dillingham Census Area,Alaska,Rural Area,2018.0,0.76300001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02090,95655.0,Fairbanks North Star Borough,Alaska,Small Metro Area,2018.0,0.84800005,16140.0,59.6,881.0,0500000US02090,36378.0,75448.0,24187.0,88528.0,0500000US02090,77416.0,59.4,5.6,0500000US02090,37033.0,31864.0,2867.0,77416.0,0500000US02090,59735.0,,,,0.0,0.0,0.0
0500000US02100,2080.0,Haines Borough,Alaska,Rural Area,2018.0,0.87400007,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02105,2365.0,Hoonah-Angoon Census Area,Alaska,Rural Area,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02110,32255.0,Juneau City and Borough,Alaska,Micro Area,2018.0,0.88799995,,,,,,,,,,,,,,,,,,,,,,,,,
